#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25,nonsep_26,nonsep_27,nonsep_28,nonsep_29,nonsep_30,nonsep_31,nonsep_32,nonsep_33,nonsep_34,nonsep_35,nonsep_36,nonsep_37,nonsep_38,nonsep_39,nonsep_40,nonsep_41,nonsep_42,nonsep_43,nonsep_44,nonsep_45,nonsep_46,nonsep_47,nonsep_48,nonsep_49,nonsep_50,nonsep_51,nonsep_52,nonsep_53,nonsep_54,nonsep_55,nonsep_56,nonsep_57,nonsep_58
0,0,1_data_a[0],2_autoCreatedSpl2id1,3_and_bb_104_,4_autoCreatedSpl2id3,5_and_bi_106_,6_autoCreatedSpl2id24,7_and_bi_126_,8_autoCreatedSpl2id25,9_or_bi_127_,10_autoCreatedSpl2id27,11_and_bi_130_,12_autoCreatedSpl2id29,13_and_bi_131_,14_autoCreatedSpl3id30,15_or_bi_132_,16_and_bi_133_,17_autoCreatedSpl2id33,18_and_bi_134_,19_autoCreatedSpl2id35,20_and_bi_135_,21_autoCreatedSpl3id36,22_or_bi_136_,23_and_bi_137_,24_autoCreatedSpl2id39,25_and_bi_138_,26_autoCreatedSpl2id41,27_and_bi_139_,28_autoCreatedSpl3id42,29_or_bi_140_,30_and_bi_141_,31_autoCreatedSpl2id45,32_and_bi_142_,33_autoCreatedSpl2id47,34_and_bi_144_,35_autoCreatedSpl2id52,36_or_bb_150_,37_or_ii_152_,38_autoCreatedSpl2id57,39_and_bi_158_,40_autoCreatedSpl2id59,41_and_bi_160_,42_autoCreatedSpl2id64,43_or_bb_166_,44_or_ii_168_,45_autoCreatedSpl2id69,46_and_bi_174_,47_autoCreatedSpl2id71,48_and_bi_176_,49_autoCreatedSpl2id76,50_or_bb_182_,51_or_ii_184_,52_autoCreatedSpl2id81,53_and_bi_190_,54_autoCreatedSpl2id83,55_and_bi_192_,56_autoCreatedSpl2id88,57_or_bb_198_,58_or_ii_200_,59_result[0]
1,,1_data_a[1],2_autoCreatedSpl2id2,3_or_bb_105_,4_autoCreatedSpl2id8,5_inv_110_,6_autoCreatedSpl2id94,7_or_bi_205_,8_bfr_autonet4_,9_and_bi_206_,10_autoCreatedSpl2id28,11_or_bi_207_,12_bfr_autonet8_,13_and_bi_208_,14_autoCreatedSpl2id90,15_or_ii_210_,16_or_ii_212_,17_autoCreatedSpl2id34,18_or_bi_213_,19_bfr_autonet15_,20_and_bi_214_,21_autoCreatedSpl2id91,22_or_bb_216_,23_or_ii_218_,24_autoCreatedSpl2id40,25_or_bi_219_,26_bfr_autonet22_,27_and_bi_220_,28_autoCreatedSpl2id92,29_or_bb_222_,30_or_ii_224_,31_autoCreatedSpl2id46,32_or_bi_143_,33_bfr_autonet99_,34_and_bi_146_,35_autoCreatedSpl3id53,36_or_ii_151_,37_or_bi_157_,38_autoCreatedSpl2id58,39_or_bi_159_,40_bfr_autonet105_,41_and_bi_162_,42_autoCreatedSpl3id65,43_or_ii_167_,44_or_bi_173_,45_autoCreatedSpl2id70,46_or_bi_175_,47_bfr_autonet112_,48_and_bi_178_,49_autoCreatedSpl3id77,50_or_ii_183_,51_or_bi_189_,52_autoCreatedSpl2id82,53_or_bi_191_,54_bfr_autonet119_,55_and_bi_194_,56_autoCreatedSpl3id89,57_or_ii_199_,58_and_bi_204_,59_result[1]
2,,1_data_a[2],2_autoCreatedSpl2id4,3_and_bb_107_,4_autoCreatedSpl2id13,5_and_bi_112_,6_bfr_autonet2_,7_bfr_autonet3_,8_bfr_autonet29_,9_bfr_autonet5_,10_bfr_autonet6_,11_bfr_autonet7_,12_bfr_autonet33_,13_bfr_autonet9_,14_bfr_autonet10_,15_or_bb_211_,16_bfr_autonet12_,17_bfr_autonet13_,18_bfr_autonet14_,19_bfr_autonet40_,20_bfr_autonet16_,21_bfr_autonet17_,22_or_ii_217_,23_bfr_autonet19_,24_bfr_autonet20_,25_bfr_autonet21_,26_bfr_062_,27_bfr_autonet23_,28_bfr_autonet24_,29_or_ii_223_,30_bfr_058_,31_bfr_autonet149_,32_bfr_autonet150_,33_bfr_096_,34_bfr_100_,35_bfr_autonet100_,36_and_bi_156_,37_bfr_autonet102_,38_bfr_autonet103_,39_bfr_autonet104_,40_bfr_autonet183_,41_bfr_autonet106_,42_bfr_autonet107_,43_and_bi_172_,44_bfr_autonet109_,45_bfr_autonet110_,46_bfr_autonet111_,47_bfr_autonet190_,48_bfr_autonet113_,49_bfr_autonet114_,50_and_bi_188_,51_bfr_autonet116_,52_bfr_autonet117_,53_bfr_autonet118_,54_bfr_autonet197_,55_bfr_autonet120_,56_bfr_autonet121_,57_and_bi_203_,58_bfrresult[8],59_result[2]
3,,1_data_a[3],2_autoCreatedSpl2id5,3_or_bb_108_,4_autoCreatedSpl2id22,5_inv_116_,6_bfr_autonet27_,7_bfr_autonet28_,8_bfr_autonet51_,9_bfr_autonet30_,10_bfr_autonet31_,11_bfr_autonet32_,12_bfr_autonet55_,13_bfr_autonet34_,14_bfr_autonet35_,15_bfr_autonet11_,16_bfr_autonet37_,17_bfr_autonet38_,18_bfr_autonet39_,19_bfr_autonet62_,20_bfr_autonet41_,21_bfr_autonet42_,22_bfr_autonet18_,23_bfr_autonet44_,24_bfr_autonet45_,25_bfr_autonet46_,26_bfr_autonet144_,27_bfr_autonet145_,28_bfr_autonet146_,29_bfr_autonet25_,30_bfr_autonet148_,31_bfr_autonet177_,32_bfr_autonet178_,33_bfr_autonet179_,34_bfr_autonet231_,35_bfr_autonet232_,36_bfr_autonet101_,37_bfr_001_,38_bfr_autonet181_,39_bfr_autonet182_,40_bfr_autonet235_,41_bfr_autonet184_,42_bfr_autonet185_,43_bfr_autonet108_,44_bfr_autonet187_,45_bfr_autonet188_,46_bfr_autonet189_,47_bfr_autonet241_,48_bfr_autonet191_,49_bfr_autonet192_,50_bfr_autonet115_,51_bfr_autonet194_,52_bfr_autonet195_,53_bfr_autonet196_,54_bfr_autonet248_,55_bfr_autonet198_,56_bfr_autonet199_,57_bfr_autonet122_,58_bfrresult[9],59_result[3]
4,,1_data_a[4],2_autoCreatedSpl2id6,3_and_bb_109_,4_autoCreatedSpl2id26,5_and_bi_118_,6_bfr_autonet49_,7_bfr_autonet50_,8_bfr_autonet69_,9_bfr_autonet52_,10_bfr_autonet53_,11_bfr_autonet54_,12_bfr_autonet73_,13_bfr_autonet56_,14_bfr_autonet57_,15_bfr_autonet36_,16_bfr_autonet59_,17_bfr_autonet60_,18_bfr_autonet61_,19_bfr_068_,20_bfr_autonet63_,21_bfr_autonet64_,22_bfr_autonet43_,23_bfr_064_,24_bfr_autonet142_,25_bfr_autonet143_,26_bfr_autonet172_,27_bfr_autonet173_,28_bfr_autonet174_,29_bfr_autonet147_,30_bfr_autonet176_,31_bfr_autonet228_,32_bfr_autonet229_,33_bfr_autonet230_,34_bfr_autonet281_,35_bfr_autonet282_,36_bfr_autonet233_,37_bfr_autonet284_,38_bfr_autonet285_,39_bfr_autonet286_,40_bfr_006_,41_bfr_010_,42_bfr_autonet236_,43_bfr_autonet186_,44_bfr_autonet238_,45_bfr_autonet239_,46_bfr_autonet240_,47_bfr_autonet326_,48_bfr_autonet242_,49_bfr_autonet243_,50_bfr_autonet193_,51_bfr_autonet245_,52_bfr_autonet246_,53_bfr_autonet247_,54_bfr_autonet333_,55_bfr_autonet249_,56_bfr_autonet250_,57_bfr_autonet200_,58_bfrresult[10],59_result[4]
5,,1_data_a[5],2_autoCreatedSpl2id7,3_or_bb_111_,4_autoCreatedSpl2id31,5_or_ii_125_,6_bfr_autonet67_,7_bfr_autonet68_,8_bfr_autonet84_,9_bfr_autonet70_,10_bfr_autonet71_,11_bfr_autonet72_,12_bfr_autonet88_,13_bfr_autonet74_,14_bfr_autonet75_,15_bfr_autonet58_,16_bfr_autonet77_,17_bfr_autonet78_,18_bfr_autonet79_,19_bfr_autonet137_,20_bfr_autonet138_,21_bfr_autonet139_,22_bfr_autonet65_,23_bfr_autonet141_,24_bfr_autonet170_,25_bfr_autonet171_,26_bfr_autonet223_,27_bfr_autonet224_,28_bfr_autonet225_,29_bfr_autonet175_,30_bfr_autonet227_,31_bfr_autonet278_,32_bfr_autonet279_,33_bfr_autonet280_,34_bfr_autonet316_,35_bfr_autonet317_,36_bfr_autonet283_,37_bfr_autonet319_,38_bfr_autonet320_,39_bfr_autonet321_,40_bfr_autonet322_,41_bfr_autonet374_,42_bfr_autonet375_,43_bfr_autonet237_,44_bfr_015_,45_bfr_autonet324_,46_bfr_autonet325_,47_bfr_autonet378_,48_bfr_autonet327_,49_bfr_autonet328_,50_bfr_autonet244_,51_bfr_autonet330_,52_bfr_autonet331_,53_bfr_autonet332_,54_bfr_autonet384_,55_bfr_autonet334_,56_bfr_autonet335_,57_bfr_autonet251_,58_bfrresult[11],59_result[5]
6,,1_data_a[6],2_autoCreatedSpl2id9,3_and_bb_113_,4_autoCreatedSpl2id32,5_or_ii_129_,6_bfr_autonet82_,7_bfr_autonet83_,8_bfr_autonet97_,9_bfr_autonet85_,10_bfr_autonet86_,11_bfr_autonet87_,12_bfr_autonet130_,13_bfr_autonet89_,14_bfr_autonet90_,15_bfr_autonet76_,16_bfr_070_,17_bfr_autonet135_,18_bfr_autonet136_,19_bfr_autonet165_,20_bfr_autonet166_,21_bfr_autonet167_,22_bfr_autonet140_,23_bfr_autonet169_,24_bfr_autonet221_,25_bfr_autonet222_,26_bfr_autonet273_,27_bfr_autonet274_,28_bfr_autonet275_,29_bfr_autonet226_,30_bfr_autonet277_,31_bfr_autonet313_,32_bfr_autonet314_,33_bfr_autonet315_,34_bfr_autonet367_,35_bfr_autonet368_,36_bfr_autonet318_,37_bfr_autonet370_,38_bfr_autonet371_,39_bfr_autonet372_,40_bfr_autonet373_,41_bfr_autonet424_,42_bfr_autonet425_,43_bfr_autonet376_,44_bfr_autonet427_,45_bfr_autonet428_,46_bfr_autonet429_,47_bfr_020_,48_bfr_024_,49_bfr_autonet379_,50_bfr_autonet329_,51_bfr_autonet381_,52_bfr_autonet382_,53_bfr_autonet383_,54_bfr_autonet476_,55_bfr_autonet385_,56_bfr_autonet386_,57_bfr_autonet336_,58_bfrresult[12],59_result[6]
7,,1_data_a[7],2_autoCreatedSpl2id10,3_or_bb_114_,4_autoCreatedSpl2id37,5_inv_145_,6_bfr_autonet95_,7_bfr_autonet96_,8_bfr_autonet126_,9_bfr_081_,10_bfr_autonet128_,11_bfr_autonet129_,12_bfr_autonet158_,13_bfr_autonet131_,14_bfr_autonet132_,15_bfr_autonet91_,16_bfr_autonet134_,17_bfr_autonet163_,18_bfr_autonet164_,19_bfr_autonet216_,20_bfr_autonet217_,21_bfr_autonet218_,22_bfr_autonet168_,23_bfr_autonet220_,24_bfr_autonet271_,25_bfr_autonet272_,26_bfr_autonet308_,27_bfr_autonet309_,28_bfr_autonet310_,29_bfr_autonet276_,30_bfr_autonet312_,31_bfr_autonet364_,32_bfr_autonet365_,33_bfr_autonet366_,34_bfr_autonet417_,35_bfr_autonet418_,36_bfr_autonet369_,37_bfr_autonet420_,38_bfr_autonet421_,39_bfr_autonet422_,40_bfr_autonet423_,41_bfr_autonet466_,42_bfr_autonet467_,43_bfr_autonet426_,44_bfr_autonet469_,45_bfr_autonet470_,46_bfr_autonet471_,47_bfr_autonet472_,48_bfr_autonet524_,49_bfr_autonet525_,50_bfr_autonet380_,51_bfr_029_,52_bfr_autonet474_,53_bfr_autonet475_,54_bfr_autonet528_,55_bfr_autonet477_,56_bfr_autonet478_,57_bfr_autonet387_,58_bfrresult[13],59_result[7]
8,,1_data_a[8],2_autoCreatedSpl2id11,3_and_bb_115_,4_autoCreatedSpl2id38,5_and_bi_149_,6_bfr_autonet124_,7_bfr_autonet125_,8_bfr_autonet154_,9_bfr_autonet127_,10_bfr_autonet156_,11_bfr_autonet157_,12_bfr_autonet209_,13_bfr_autonet159_,14_bfr_autonet160_,15_bfr_autonet133_,16_bfr_autonet162_,17_bfr_autonet214_,18_bfr_autonet215_,19_bfr_autonet266_,20_bfr_autonet267_,21_bfr_autonet268_,22_bfr_autonet219_,23_bfr_autonet270_,24_bfr_autonet306_,25_bfr_autonet307_,26_bfr_autonet359_,27_bfr_autonet360_,28_bfr_autonet361_,29_bfr_autonet311_,30_bfr_autonet363_,31_bfr_autonet414_,32_bfr_autonet415_,33_bfr_autonet416_,34_bfr_autonet459_,35_bfr_autonet460_,36_bfr_autonet419_,37_bfr_autonet462_,38_bfr_autonet463_,39_bfr_autonet464_,40_bfr_autonet465_,41_bfr_autonet517_,42_bfr_autonet518_,43_bfr_autonet468_,44_bfr_autonet520_,45_bfr_autonet521_,46_bfr_autonet522_,47_bfr_autonet523_,48_bfr_autonet574_,49_bfr_autonet575_,50_bfr_autonet526_,51_bfr_autonet577_,52_bfr_autonet578_,53_bfr_autonet579_,54_bfr_034_,55_bfr_038_,56_bfr_autonet529_,57_bfr_autonet479_,58_bfrresult[14],59_result[8]
9,,1_data_a[9],2_autoCreatedSpl2id12,3_or_bb_117_,4_autoCreatedSpl2id43,5_and_bi_155_,6_bfr_autonet152_,7_bfr_autonet153_,8_bfr_autonet205_,9_bfr_autonet155_,10_bfr_autonet207_,11_bfr_autonet208_,12_bfr_autonet259_,13_bfr_autonet210_,14_bfr_autonet211_,15_bfr_autonet161_,16_bfr_autonet213_,17_bfr_autonet264_,18_bfr_autonet265_,19_bfr_autonet301_,20_bfr_autonet302_,21_bfr_autonet303_,22_bfr_autonet269_,23_bfr_autonet305_,24_bfr_autonet357_,25_bfr_autonet358_,26_bfr_autonet409_,27_bfr_autonet410_,28_bfr_autonet411_,29_bfr_autonet362_,30_bfr_autonet413_,31_bfr_autonet456_,32_bfr_autonet457_,33_bfr_autonet458_,34_bfr_autonet510_,35_bfr_autonet511_,36_bfr_autonet461_,37_bfr_autonet513_,38_bfr_autonet514_,39_bfr_autonet515_,40_bfr_autonet516_,41_bfr_autonet567_,42_bfr_autonet568_,43_bfr_autonet519_,44_bfr_autonet570_,45_bfr_autonet571_,46_bfr_autonet572_,47_bfr_autonet573_,48_bfr_autonet623_,49_bfr_autonet624_,50_bfr_autonet576_,51_bfr_autonet626_,52_bfr_autonet627_,53_bfr_autonet628_,54_bfr_autonet629_,55_bfr_autonet681_,56_bfr_autonet682_,57_bfr_autonet530_,58_bfrresult[0],59_result[9]
