#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25
0,0,1_data_in[0],2_autoCreatedSpl3id5,3_autoCreatedSpl3id6,4_inv_0620_,5_and_bi_0543_,6_or_bb_0545_,7_and_bb_0589_,8_and_bi_0559_,9_or_bb_0546_,10_and_bi_0550_,11_and_bi_0547_,12_and_bi_0551_,13_inv_0548_,14_and_bi_0565_,15_and_bi_0552_,16_or_bb_0566_,17_or_bi_0577_,18_or_bb_0592_,19_or_ii_0578_,20_and_bi_0604_,21_or_bb_0605_,22_and_bi_0606_,23_and_bi_0607_,24_or_bb_0637_,25_and_bi_0721_,26_data_out[0]
1,,1_data_in[1],2_autoCreatedSpl3id13,3_autoCreatedSpl3id14,4_or_ii_1087_,5_inv_0544_,6_inv_0549_,7_and_bi_0595_,8_and_bi_0563_,9_and_bi_0556_,10_and_bi_0553_,11_or_bi_0611_,12_and_bi_0585_,13_or_bb_0554_,14_and_bi_0575_,15_and_bi_0619_,16_and_bi_0576_,17_or_bb_0591_,18_or_bb_0635_,19_and_bi_0603_,20_or_ii_0665_,21_and_bi_0688_,22_and_bi_0689_,23_or_bb_0719_,24_and_bi_0720_,25_and_bi_0832_,26_data_out[1]
2,,1_data_in[2],2_autoCreatedSpl3id26,3_autoCreatedSpl3id15,4_autoCreatedSpl3id9,5_and_bb_0582_,6_and_bb_0555_,7_and_bi_0599_,8_and_bi_0569_,9_or_bi_0580_,10_or_bb_0609_,11_or_ii_0613_,12_and_bi_0617_,13_or_bb_0560_,14_and_bi_0601_,15_and_bi_0623_,16_and_bi_0684_,17_and_bi_0602_,18_or_bi_0664_,19_or_bb_0636_,20_or_bb_0687_,21_and_bi_0740_,22_and_bi_0741_,23_or_bb_0775_,24_or_bb_0829_,25_bfr_autonet68_,26_data_out[2]
3,,1_data_in[3],2_autoCreatedSpl2id350,3_autoCreatedSpl3id27,4_autoCreatedSpl3id10,5_or_bi_0587_,6_or_bi_0557_,7_and_bi_0621_,8_and_bi_0573_,9_inv_0622_,10_and_bi_0610_,11_or_ii_0616_,12_or_bi_0627_,13_and_bi_0564_,14_and_bi_0618_,15_and_bi_0633_,16_and_bi_0737_,17_and_bi_0634_,18_and_bi_0685_,19_and_bi_0686_,20_or_bb_0718_,21_and_bi_0807_,22_and_bi_0827_,23_or_ii_0828_,24_or_bb_0990_,25_bfrdata_out[2],26_data_out[3]
4,,1_data_in[4],2_autoCreatedSpl2id374,3_autoCreatedSpl3id28,4_autoCreatedSpl3id17,5_or_ii_0588_,6_and_bb_0558_,7_and_bi_0640_,8_and_bi_0584_,9_or_bb_0641_,10_or_ii_0615_,11_or_bb_0625_,12_and_bi_0631_,13_or_bb_0570_,14_or_ii_0628_,15_or_bb_0644_,16_or_bb_0753_,17_or_bb_0655_,18_and_bi_0710_,19_and_bi_0711_,20_or_ii_0729_,21_and_bi_0826_,22_or_bb_0860_,23_or_bb_0924_,24_and_bi_1047_,25_bfrdata_out[4],26_data_out[4]
5,,1_data_in[5],2_autoCreatedSpl2id402,3_autoCreatedSpl3id29,4_autoCreatedSpl3id30,5_and_bi_0593_,6_and_bi_0561_,7_and_bi_0648_,8_or_bb_0657_,9_or_bb_0691_,10_and_bi_0692_,11_and_bi_0626_,12_and_bi_0661_,13_and_bi_0574_,14_and_bi_0632_,15_or_bb_0700_,16_or_bb_0773_,17_and_bi_0663_,18_and_bi_0716_,19_and_bi_0717_,20_and_bi_0818_,21_and_bi_0840_,22_or_bb_0895_,23_or_bb_0970_,24_or_bb_1067_,25_bfrdata_out[5],26_data_out[5]
6,,1_data_in[6],2_autoCreatedSpl2id454,3_autoCreatedSpl3id44,4_autoCreatedSpl3id31,5_or_ii_0594_,6_or_ii_0562_,7_and_bi_0652_,8_and_bi_0766_,9_and_bi_0750_,10_or_bb_0695_,11_or_bb_0629_,12_or_bb_0669_,13_and_bb_0579_,14_and_bi_0654_,15_or_bb_0708_,16_and_bi_0792_,17_or_bb_0674_,18_or_bi_0728_,19_and_bi_0739_,20_and_bi_0839_,21_or_bb_0894_,22_and_bi_0923_,23_or_bb_0989_,24_bfr_0039_,25_bfrdata_out[6],26_data_out[6]
7,,1_data_in[7],2_bfr_autonet1_,3_autoCreatedSpl3id73,4_autoCreatedSpl3id32,5_or_bi_0597_,6_or_bi_0567_,7_and_bi_0660_,8_inv_0800_,9_or_bb_0755_,10_and_bi_0696_,11_and_bi_0630_,12_or_bb_0694_,13_and_bi_0586_,14_or_bi_0683_,15_or_bb_0714_,16_and_bi_0797_,17_and_bi_0709_,18_and_bi_0738_,19_or_bb_0774_,20_and_bi_0893_,21_and_bi_0922_,22_and_bi_0951_,23_or_bb_1025_,24_bfr_autonet120_,25_bfrdata_out[7],26_data_out[7]
8,,1_data_in[8],2_bfr_autonet2_,3_autoCreatedSpl2id139,4_autoCreatedSpl3id33,5_and_bb_0598_,6_and_bb_0568_,7_and_bb_0668_,8_and_bi_0841_,9_and_bi_0761_,10_or_bb_0701_,11_or_bb_0642_,12_and_bb_0706_,13_and_bi_0590_,14_and_bi_0699_,15_and_bi_0752_,16_and_bi_0816_,17_and_bi_0715_,18_and_bi_0754_,19_or_bb_0806_,20_and_bi_0921_,21_and_bi_0950_,22_or_bb_0969_,23_and_bi_1046_,24_bfr_0224_,25_bfrdata_out[8],26_data_out[8]
9,,1_data_in[9],2_bfr_autonet4_,3_autoCreatedSpl2id351,4_autoCreatedSpl3id34,5_and_bi_0608_,6_or_bi_0571_,7_and_bi_0671_,8_or_bb_0851_,9_and_bi_0771_,10_and_bi_0702_,11_and_bi_0672_,12_and_bb_0712_,13_or_bb_0596_,14_and_bi_0713_,15_and_bi_0772_,16_or_bb_0835_,17_or_bb_0725_,18_and_bi_0794_,19_and_bi_0817_,20_and_bi_0949_,21_and_bi_0965_,22_or_bb_0985_,23_and_bi_1066_,24_bfr_autonet186_,25_bfr_autonet286_,26_data_out[9]
