#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25,nonsep_26,nonsep_27,nonsep_28,nonsep_29,nonsep_30,nonsep_31,nonsep_32,nonsep_33,nonsep_34,nonsep_35,nonsep_36
0,0,1_data_a[0],2_autoCreatedSpl3id1,3_or_ii_118_,4_and_bb_076_,5_or_bi_086_,6_and_bi_078_,7_or_bb_083_,8_and_bi_080_,9_or_ii_087_,10_or_bb_140_,11_and_bi_088_,12_and_bi_149_,13_or_bb_090_,14_or_bb_151_,15_and_bi_091_,16_inv_152_,17_and_bi_093_,18_autoCreatedSpl2id36,19_and_bi_107_,20_autoCreatedSpl2id38,21_or_bb_109_,22_autoCreatedSpl2id39,23_and_bi_110_,24_autoCreatedSpl2id51,25_and_bi_112_,26_autoCreatedSpl2id52,27_and_bi_131_,28_autoCreatedSpl2id53,29_and_bi_133_,30_autoCreatedSpl2id61,31_or_ii_144_,32_or_ii_146_,33_autoCreatedSpl2id67,34_and_bi_155_,35_autoCreatedSpl2id68,36_and_bi_157_,37_result[0]
1,,1_data_a[1],2_autoCreatedSpl3id3,3_and_bb_119_,4_or_ii_077_,5_autoCreatedSpl2id9,6_or_bi_079_,7_or_bb_098_,8_or_bi_121_,9_or_ii_100_,10_and_bi_147_,11_and_bi_089_,12_and_bi_150_,13_and_bi_095_,14_autoCreatedSpl2id22,15_or_bi_092_,16_autoCreatedSpl2id35,17_or_bi_106_,18_autoCreatedSpl2id37,19_and_bi_108_,20_autoCreatedSpl2id48,21_and_bi_113_,22_autoCreatedSpl2id49,23_or_bi_111_,24_autoCreatedSpl2id59,25_or_bi_130_,26_autoCreatedSpl2id76,27_or_bi_132_,28_bfr_autonet21_,29_or_bi_134_,30_autoCreatedSpl3id62,31_or_bb_145_,32_and_bi_154_,33_bfr_autonet26_,34_or_ii_156_,35_bfr_autonet28_,36_or_bb_158_,37_result[1]
2,,1_data_a[2],2_autoCreatedSpl3id5,3_and_bb_136_,4_and_bb_081_,5_autoCreatedSpl3id10,6_or_bb_117_,7_or_ii_099_,8_and_bi_138_,9_autoCreatedSpl2id56,10_autoCreatedSpl2id19,11_and_bi_101_,12_autoCreatedSpl2id21,13_or_bb_103_,14_autoCreatedSpl2id33,15_or_bb_104_,16_autoCreatedSpl2id45,17_or_bi_124_,18_autoCreatedSpl2id46,19_and_bi_125_,20_bfr_autonet13_,21_or_bb_127_,22_autoCreatedSpl2id50,23_or_bb_128_,24_autoCreatedSpl2id60,25_or_bi_143_,26_bfr_autonet19_,27_bfr_autonet20_,28_bfr_autonet50_,29_bfr_autonet22_,30_bfr_autonet23_,31_and_bi_153_,32_bfr_autonet25_,33_bfr_autonet55_,34_bfr_autonet27_,35_bfr_autonet57_,36_bfrresult[1],37_result[2]
3,,1_data_a[3],2_autoCreatedSpl3id12,3_and_bb_148_,4_or_ii_082_,5_autoCreatedSpl3id16,6_or_bi_137_,7_autoCreatedSpl2id42,8_and_bi_139_,9_bfr_autonet2_,10_autoCreatedSpl2id20,11_and_bi_102_,12_autoCreatedSpl2id32,13_and_bi_115_,14_autoCreatedSpl2id34,15_and_bb_105_,16_autoCreatedSpl2id73,17_bfr_autonet10_,18_autoCreatedSpl2id47,19_and_bi_126_,20_bfr_autonet42_,21_and_bi_135_,22_autoCreatedSpl2id57,23_and_bb_129_,24_autoCreatedSpl2id75,25_bfr_autonet18_,26_bfr_autonet48_,27_bfr_autonet49_,28_bfr_autonet85_,29_bfr_autonet51_,30_bfr_autonet52_,31_bfr_autonet24_,32_bfr_autonet54_,33_bfr_autonet90_,34_bfr_autonet56_,35_bfr_autonet92_,36_bfrresult[2],37_result[3]
4,,1_data_b[0],2_autoCreatedSpl3id14,3_and_bb_159_,4_or_ii_084_,5_autoCreatedSpl2id41,6_autoCreatedSpl3id17,7_autoCreatedSpl2id54,8_autoCreatedSpl2id18,9_bfr_004_,10_autoCreatedSpl2id30,11_autoCreatedSpl2id63,12_bfr_autonet5_,13_autoCreatedSpl2id65,14_autoCreatedSpl2id43,15_or_bb_122_,16_bfr_autonet9_,17_bfr_016_,18_bfr_autonet11_,19_bfr_autonet12_,20_bfr_autonet81_,21_bfr_autonet14_,22_autoCreatedSpl2id58,23_or_bb_141_,24_bfr_autonet17_,25_bfr_autonet47_,26_bfr_autonet83_,27_bfr_autonet84_,28_bfr_autonet118_,29_bfr_autonet86_,30_bfr_autonet87_,31_bfr_autonet53_,32_bfr_autonet89_,33_bfr_autonet122_,34_bfr_autonet91_,35_bfr_autonet124_,36_bfrresult[3],37_result[4]
5,,1_data_b[1],2_autoCreatedSpl3id24,3_autoCreatedSpl2id2,4_and_bb_085_,5_bfr_autonet30_,6_autoCreatedSpl2id28,7_autoCreatedSpl2id55,8_autoCreatedSpl2id29,9_bfr_autonet63_,10_autoCreatedSpl2id31,11_autoCreatedSpl2id64,12_bfr_autonet38_,13_bfr_autonet6_,14_autoCreatedSpl2id44,15_and_bb_123_,16_bfr_autonet39_,17_bfr_035_,18_bfr_autonet40_,19_bfr_autonet41_,20_bfr_autonet116_,21_bfr_autonet43_,22_autoCreatedSpl2id74,23_and_bb_142_,24_bfr_autonet46_,25_bfr_autonet165_,26_bfr_autonet141_,27_bfr_autonet142_,28_bfr_autonet143_,29_bfr_063_,30_bfr_autonet119_,31_bfr_autonet88_,32_bfr_autonet121_,33_bfr_autonet145_,34_bfr_autonet123_,35_bfr_autonet147_,36_bfrresult[4],37_result[5]
6,,1_data_b[2],2_autoCreatedSpl3id26,3_autoCreatedSpl2id4,4_and_bb_094_,5_bfr_autonet59_,6_bfr_autonet31_,7_autoCreatedSpl2id71,8_bfr_autonet33_,9_bfr_018_,10_bfr_autonet3_,11_bfr_autonet4_,12_bfr_autonet66_,13_bfr_autonet67_,14_autoCreatedSpl2id72,15_autoCreatedSpl2id66,16_bfr_autonet70_,17_bfr_autonet136_,18_bfr_autonet137_,19_bfr_autonet138_,20_bfr_autonet139_,21_bfr_060_,22_bfr_autonet15_,23_bfr_autonet16_,24_bfr_autonet82_,25_bfr_autonet196_,26_bfr_autonet166_,27_bfr_autonet167_,28_bfr_autonet168_,29_bfr_autonet169_,30_bfr_autonet170_,31_bfr_autonet120_,32_bfr_autonet172_,33_bfr_071_,34_bfr_autonet146_,35_bfr_autonet174_,36_bfrresult[5],37_result[6]
7,,1_data_b[3],2_autoCreatedSpl2id69,3_autoCreatedSpl2id6,4_and_bb_096_,5_bfr_autonet72_,6_bfr_autonet35_,7_bfr_autonet1_,8_bfr_009_,9_bfr_autonet98_,10_bfr_autonet64_,11_bfr_autonet65_,12_bfr_autonet79_,13_bfr_autonet102_,14_bfr_autonet7_,15_bfr_autonet8_,16_bfr_autonet80_,17_bfr_autonet157_,18_bfr_autonet158_,19_bfr_autonet159_,20_bfr_autonet160_,21_bfr_autonet161_,22_bfr_autonet44_,23_bfr_autonet45_,24_bfr_autonet117_,25_bfr_autonet231_,26_bfr_autonet197_,27_bfr_autonet198_,28_bfr_autonet199_,29_bfr_autonet200_,30_bfr_autonet201_,31_bfr_autonet171_,32_bfr_autonet203_,33_bfr_autonet204_,34_bfr_autonet205_,35_bfr_autonet206_,36_bfrresult[0],37_result[7]
8,,,,3_autoCreatedSpl2id8,4_or_ii_097_,5_bfr_autonet77_,6_bfr_autonet60_,7_bfr_autonet32_,8_bfr_autonet62_,9_bfr_autonet110_,10_bfr_autonet99_,11_bfr_autonet100_,12_bfr_autonet101_,13_bfr_042_,14_bfr_autonet68_,15_bfr_autonet69_,16_bfr_autonet105_,17_bfr_autonet188_,18_bfr_autonet189_,19_bfr_autonet190_,20_bfr_autonet191_,21_bfr_autonet192_,22_bfr_autonet162_,23_bfr_autonet163_,24_bfr_autonet164_,25_bfr_autonet235_,26_bfr_autonet232_,27_bfr_autonet233_,28_bfrautoSplNet116,29_bfr_autonet239_,30_bfrautoSplNet132,31_bfr_autonet202_,32_bfr_autonet266_,33_bfr_autonet267_,34_bfr_autonet268_,35_bfrautoSplNet145,,
9,,,,3_autoCreatedSpl2id13,4_and_bb_114_,5_bfr_autonet94_,6_bfr_autonet73_,7_bfr_autonet36_,8_bfr_autonet75_,9_bfr_autonet129_,10_bfr_autonet111_,11_bfr_autonet112_,12_bfr_autonet113_,13_bfr_autonet132_,14_bfr_autonet103_,15_bfr_autonet104_,16_bfr_autonet115_,17_bfr_autonet221_,18_bfr_autonet222_,19_bfr_autonet223_,20_bfrautoSplNet83,21_bfr_autonet255_,22_bfr_autonet193_,23_bfr_autonet194_,24_bfr_autonet195_,25_bfr_autonet241_,26_bfr_autonet236_,27_bfr_autonet237_,28_bfr_autonet238_,29_bfr_autonet245_,30_bfr_autonet246_,31_bfrautoSplNet134,32_bfr_autonet286_,33_bfrautoSplNet147,,,,
