#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11
0,0,1_data_in[0],2_autoCreatedSpl3id1,3_inv_110_,4_or_bb_061_,5_or_bi_054_,6_or_bb_058_,7_or_ii_055_,8_or_ii_059_,9_or_bb_056_,10_and_bi_060_,11_or_bb_072_,12_data_out[0]
1,,1_data_in[1],2_autoCreatedSpl3id14,3_autoCreatedSpl3id2,4_or_bi_064_,5_and_bb_057_,6_or_ii_063_,7_and_bi_068_,8_or_bb_071_,9_or_ii_082_,10_and_bi_083_,11_or_bb_093_,12_data_out[1]
2,,1_data_in[2],2_autoCreatedSpl3id18,3_autoCreatedSpl3id3,4_or_ii_065_,5_or_ii_062_,6_or_bi_067_,7_or_bb_087_,8_or_bb_076_,9_and_bi_088_,10_or_bb_092_,11_or_bb_103_,12_data_out[2]
3,,1_data_in[3],2_autoCreatedSpl2id44,3_autoCreatedSpl3id4,4_and_bi_069_,5_or_bb_066_,6_and_bi_070_,7_and_bi_091_,8_and_bi_081_,9_or_bb_098_,10_and_bi_099_,11_or_bb_109_,12_data_out[3]
4,,1_sh_amt[0],2_bfr_autonet1_,3_autoCreatedSpl3id6,4_or_bi_073_,5_and_bi_078_,6_and_bi_075_,7_or_bb_096_,8_and_bi_097_,9_and_bi_101_,10_or_bb_102_,,
5,,1_sh_amt[1],2_bfr_autonet2_,3_autoCreatedSpl3id19,4_and_bb_074_,5_autoCreatedSpl3id8,6_or_bi_080_,7_and_bi_100_,8_or_bb_104_,9_and_bb_105_,10_and_bi_106_,,
6,,1_sh_ctrl[0],2_bfr_autonet3_,3_autoCreatedSpl3id20,4_or_ii_077_,5_autoCreatedSpl2id12,6_and_bi_086_,7_autoCreatedSpl2id17,8_autoCreatedSpl2id9,9_and_bi_107_,10_or_bb_108_,,
7,,1_sh_ctrl[1],2_bfr_autonet4_,3_autoCreatedSpl2id23,4_and_bi_079_,5_autoCreatedSpl2id24,6_or_bb_089_,7_autoCreatedSpl2id21,8_autoCreatedSpl3id11,9_bfr_autonet5_,10_bfr_019_,,
8,,,,3_autoCreatedSpl2id25,4_and_bi_084_,5_autoCreatedSpl2id26,6_or_bb_094_,7_autoCreatedSpl2id30,8_autoCreatedSpl2id34,9_bfr_autonet7_,,,
9,,,,3_autoCreatedSpl3id27,4_or_ii_085_,5_autoCreatedSpl2id28,6_and_bi_095_,7_autoCreatedSpl2id31,8_bfr_autonet12_,9_bfr_038_,,,
10,,,,3_autoCreatedSpl2id38,4_or_bi_090_,5_autoCreatedSpl2id29,6_autoCreatedSpl2id7,7_autoCreatedSpl2id37,8_bfr_autonet14_,9_bfr_042_,,,
11,,,,3_autoCreatedSpl2id40,4_or_ii_111_,5_autoCreatedSpl2id33,6_autoCreatedSpl2id35,7_autoCreatedSpl2id47,8_bfr_autonet16_,9_bfr_046_,,,
12,,,,3_autoCreatedSpl2id42,4_autoCreatedSpl2id5,5_autoCreatedSpl2id43,6_autoCreatedSpl2id46,7_bfr_autonet6_,8_bfr_autonet34_,9_bfr_autonet21_,,,
13,,,,3_autoCreatedSpl2id45,4_autoCreatedSpl2id36,5_bfr_autonet9_,6_bfr_autonet20_,7_bfr_autonet19_,8_bfr_autonet38_,9_bfrautoSplNet27,,,
14,,,,3_bfr_autonet23_,4_autoCreatedSpl2id39,5_bfr_autonet10_,6_bfr_autonet22_,7_bfrautoSplNet50,8_bfrautoSplNet88,9_bfrautoSplNet82,,,
15,,,,,4_autoCreatedSpl2id41,5_bfr_autonet11_,6_bfrautoSplNet49,7_bfrautoSplNet64,8_bfr_autonet43_,,,,
16,,,,,4_bfr_autonet18_,5_bfr_autonet25_,6_bfr_autonet29_,7_bfr_autonet39_,8_bfrautoSplNet44,,,,
17,,,,,4_bfr_autonet24_,5_bfr_autonet28_,6_bfrautoSplNet54,7_bfr_autonet48_,8_bfr_autonet52_,,,,
18,,,,,4_bfr_autonet27_,5_bfr_autonet32_,6_bfr_autonet35_,,,,,,
19,,,,,4_bfr_autonet31_,5_bfr_autonet41_,6_bfrautoSplNet89,,,,,,
20,,,,,4_bfr_autonet37_,5_bfr_autonet45_,6_bfr_autonet47_,,,,,,
21,,,,,4_bfr_autonet46_,5_bfrautoSplNet60,,,,,,,
22,,,,,4_bfr_autonet50_,,,,,,,,
