#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19
0,0,1_data_in[0],2_autoCreatedSpl3id1,3_autoCreatedSpl3id2,4_and_bb_234_,5_or_bi_190_,6_and_bi_263_,7_inv_191_,8_and_bi_194_,9_and_bi_244_,10_or_ii_223_,11_inv_196_,12_or_bi_208_,13_and_bi_197_,14_or_bb_236_,15_or_ii_209_,16_and_bi_217_,17_and_bi_218_,18_or_bb_238_,19_and_bi_285_,20_data_out[0]
1,,1_data_in[1],2_autoCreatedSpl3id6,3_autoCreatedSpl3id3,4_and_bb_239_,5_inv_192_,6_and_bi_275_,7_and_bi_202_,8_and_bi_195_,9_and_bi_256_,10_and_bi_229_,11_or_bb_203_,12_and_bi_216_,13_and_bi_235_,14_and_bi_267_,15_or_bb_237_,16_or_bb_281_,17_or_bb_282_,18_or_bb_283_,19_bfr_autonet45_,20_data_out[1]
2,,1_data_in[2],2_autoCreatedSpl3id10,3_autoCreatedSpl3id4,4_and_bi_249_,5_or_bb_193_,6_and_bb_315_,7_and_bi_206_,8_and_bb_199_,9_or_bb_276_,10_or_bb_231_,11_and_bi_207_,12_and_bi_226_,13_and_bi_251_,14_or_bb_308_,15_and_bi_252_,16_and_bi_292_,17_and_bi_293_,18_or_bb_309_,19_bfr_autonet84_,20_data_out[2]
3,,1_data_in[3],2_autoCreatedSpl3id15,3_autoCreatedSpl3id7,4_and_bb_254_,5_or_ii_198_,6_and_bi_345_,7_and_bi_212_,8_or_bb_214_,9_and_bi_277_,10_and_bi_232_,11_or_ii_213_,12_or_ii_246_,13_and_bi_266_,14_and_bi_321_,15_and_bi_268_,16_and_bi_343_,17_or_bb_348_,18_and_bi_376_,19_bfrdata_out[3],20_data_out[3]
4,,1_data_in[4],2_autoCreatedSpl2id124,3_autoCreatedSpl2id8,4_or_ii_258_,5_or_bi_200_,6_autoCreatedSpl2id9,7_or_bi_221_,8_or_bb_222_,9_and_bi_288_,10_and_bi_270_,11_or_ii_215_,12_and_bi_250_,13_and_bb_284_,14_and_bi_331_,15_and_bi_273_,16_and_bi_354_,17_or_bb_360_,18_bfr_016_,19_bfrdata_out[4],20_data_out[4]
5,,1_data_in[5],2_autoCreatedSpl2id136,3_autoCreatedSpl3id11,4_or_bi_261_,5_and_bb_201_,6_autoCreatedSpl3id34,7_and_bb_243_,8_and_bi_227_,9_or_bb_294_,10_and_bi_278_,11_or_ii_225_,12_and_bi_265_,13_or_bb_307_,14_and_bi_334_,15_or_bi_287_,16_and_bi_370_,17_or_bb_374_,18_bfr_autonet100_,19_bfrdata_out[5],20_data_out[5]
6,,1_data_in[6],2_bfr_autonet1_,3_autoCreatedSpl3id12,4_and_bb_262_,5_and_bi_204_,6_autoCreatedSpl2id46,7_or_bb_247_,8_or_ii_269_,9_or_bb_298_,10_or_bb_286_,11_and_bi_233_,12_or_bb_272_,13_and_bi_320_,14_or_bb_347_,15_or_bb_332_,16_autoCreatedSpl2id139,17_bfr_160_,18_bfr_autonet117_,19_bfr_autonet146_,20_data_out[6]
7,,1_data_in[7],2_bfr_autonet2_,3_autoCreatedSpl3id16,4_inv_274_,5_or_ii_205_,6_autoCreatedSpl2id47,7_and_bi_255_,8_or_bb_316_,9_and_bi_299_,10_and_bi_289_,11_or_bi_245_,12_or_bb_280_,13_or_bb_329_,14_and_bi_355_,15_or_bb_336_,16_bfr_autonet43_,17_bfr_174_,18_bfr_autonet132_,19_bfrdata_out[7],20_data_out[7]
8,,1_sh_amt[0],2_bfr_autonet4_,3_autoCreatedSpl3id17,4_inv_310_,5_or_bi_210_,6_autoCreatedSpl2id57,7_and_bb_259_,8_and_bi_322_,9_or_bb_303_,10_and_bi_296_,11_and_bi_248_,12_and_bi_291_,13_and_bi_346_,14_and_bi_386_,15_and_bi_353_,16_bfr_autonet55_,17_bfr_autonet67_,18_bfr_autonet159_,,
9,,1_sh_amt[1],2_bfr_autonet5_,3_autoCreatedSpl3id18,4_or_ii_344_,5_and_bb_211_,6_autoCreatedSpl2id64,7_and_bi_295_,8_and_bi_326_,9_or_bb_311_,10_and_bi_300_,11_or_ii_257_,12_and_bi_297_,13_or_bb_361_,14_autoCreatedSpl3id61,15_or_bb_359_,16_bfr_autonet60_,17_bfr_039_,,,
